,station_name,postal_code,sublocality,neighborhood,state
114,W 14 St & The High Line,10014,Manhattan,,NY
115,W 74 St & Columbus Ave,,Manhattan,,NY
116,Mott St & Prince St,,Manhattan,,NY
117,Washington Pl & 6 Ave,,Manhattan,,NY
118,E 23 St & 1 Ave,,Manhattan,,NY
119,6 Ave & Canal St,,Manhattan,,NY
120,Shevchenko Pl & E 7 St,,Manhattan,,NY
121,N 12 St & Bedford Ave,,Brooklyn,,NY
122,6 Ave & W 33 St,,Manhattan,,NY
123,Broadway & W 29 St,,,,NY
124,W 37 St & 5 Ave,,Manhattan,,NY
125,John St & William St,,Manhattan,,NY
126,Bayard St & Baxter St,10013,Manhattan,,NY
127,Lawrence St & Willoughby St,11201,Brooklyn,,NY
128,E 13 St & Avenue A,,Manhattan,,NY
129,E 56 St & Madison Ave,,Manhattan,,NY
130,E 20 St & 2 Ave,,Manhattan,,NY
131,Forsyth St & Canal St,,Manhattan,,NY
132,E 51 St & Lexington Ave,,Manhattan,,NY
133,Stanton St & Chrystie St,10002,Manhattan,,NY
134,Suffolk St & Stanton St,10002,Manhattan,,NY
135,Pershing Square North,10168,Manhattan,,NY
136,Greenwich Ave & 8 Ave,,Manhattan,,NY
137,Wythe Ave & Metropolitan Ave,,,,NY
138,DeKalb Ave & Hudson Ave,,Brooklyn,,NY
139,W 59 St & 10 Ave,,Manhattan,,NY
140,8 Ave & W 31 St,,Manhattan,,NY
141,8 Ave & W 33 St,,Manhattan,,NY
142,10 Ave & W 28 St,,Manhattan,,NY
143,Perry St & Bleecker St,,Manhattan,,NY
144,1 Ave & E 15 St,,Manhattan,,NY
145,W 52 St & 5 Ave,,Manhattan,,NY
146,9 Ave & W 18 St,,Manhattan,,NY
147,Canal St & Rutgers St,,Manhattan,,NY
148,E 3 St & 1 Ave,,Manhattan,,NY
149,2 Ave & E 58 St,,Manhattan,,NY
150,Old Fulton St,10038,Brooklyn,Brooklyn Heights,NY
151,Lewis Ave & Kosciuszko St,,Brooklyn,Bedford-Stuyvesant,NY
152,Mercer St & Spring St,,Manhattan,,NY
153,E 2 St & 2 Ave,,Manhattan,,NY
154,Division St & Bowery,,Manhattan,,NY
155,W 29 St & 9 Ave,,Manhattan,,NY
156,Bushwick Ave & Powers St,,Brooklyn,,NY
157,Hope St & Union Ave,,Brooklyn,Williamsburg,NY
158,Riverside Dr & W 72 St,,Manhattan,,NY
159,W 43 St & 6 Ave,,Manhattan,,NY
160,Meserole Ave & Manhattan Ave,11222,Brooklyn,,NY
161,Frost St & Meeker St,,Brooklyn,,NY
162,Murray St & West St,,Manhattan,,NY
163,Clinton St & Grand St,,,,
164,1 Ave & E 30 St,,Manhattan,,NY
165,E 9 St & Avenue C,,Manhattan,,NY
166,Allen St & Hester St,10002,Manhattan,,NY
167,11 Ave & W 27 St,,Manhattan,,NY
168,W 13 St & 7 Ave,,Manhattan,,NY
169,Bus Slip & State St,10004,,,NY
170,Broadway & W 60 St,,,,NY
171,Jackson Ave & 46 Rd,11101,Queens,Long Island City,NY
172,E 32 St & Park Ave,,,,NY
173,Macon St & Nostrand Ave,,Brooklyn,,NY
174,E 31 St & 3 Ave,,Manhattan,,NY
175,Leonard St & Grand St,,Brooklyn,,NY
176,W Broadway & Spring St,,Manhattan,,NY
177,Grand St & Greene St,,Manhattan,,NY
178,Clark St & Henry St,10002,Brooklyn,,NY
179,Jay St & Tech Pl,11201,Brooklyn,,NY
180,Hicks St & Montague St,,Brooklyn,,NY
181,Kent Ave & N 7 St,,Brooklyn,,NY
