,station_name,postal_code,sublocality,neighborhood,state
168,W 13 St & 7 Ave,10011,Manhattan,Lower Manhattan,NY
169,Bus Slip & State St,10004,Manhattan,Lower Manhattan,NY
170,Broadway & W 60 St,10023,Manhattan,Upper West Side,NY
171,Jackson Ave & 46 Rd,11101,Queens,Long Island City,NY
172,E 32 St & Park Ave,10016,Manhattan,Midtown,NY
173,Macon St & Nostrand Ave,11216,Brooklyn,Bedford-Stuyvesant,NY
174,E 31 St & 3 Ave,10016,Manhattan,Midtown,NY
175,Leonard St & Grand St,11211,Brooklyn,Williamsburg,NY
176,W Broadway & Spring St,10012,Manhattan,Lower Manhattan,NY
177,Grand St & Greene St,10013,Manhattan,Lower Manhattan,NY
178,Clark St & Henry St,11201,Brooklyn,Brooklyn Heights,NY
179,Jay St & Tech Pl,11201,Brooklyn,Downtown Brooklyn,NY
180,Hicks St & Montague St,11201,Brooklyn,Brooklyn Heights,NY
181,Kent Ave & N 7 St,11249,Brooklyn,Williamsburg,NY
182,Fulton St & Broadway,10007,Manhattan,Lower Manhattan,NY
183,W 54 St & 9 Ave,10019,Manhattan,Midtown,NY
184,E 24 St & Park Ave S,10010,Manhattan,Midtown,NY
185,E 2 St & Avenue B,10009,Manhattan,Lower Manhattan,NY
186,E 16 St & Irving Pl,10003,Manhattan,Midtown,NY
187,Lafayette Ave & St James Pl,11238,Brooklyn,Clinton Hill,NY
188,W 56 St & 10 Ave,10019,Manhattan,Hell's Kitchen,NY
189,E 52 St & 2 Ave,10022,Manhattan,Midtown,NY
190,S 4 St & Rodney St,,Brooklyn,Williamsburg,NY
191,Nassau Ave & Russell St,11222,Brooklyn,Greenpoint,NY
192,W 37 St & 10 Ave,10018,Manhattan,Midtown,NY
193,E 10 St & Avenue A,10009,Manhattan,Lower Manhattan,NY
